name,mbid,url,image_small,image
Above Aurora,"",https://www.last.fm/music/Above+Aurora,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Aurora Dee Raynes,55572146-f892-45c4-bbe3-7fe9da3c5538,https://www.last.fm/music/Aurora+Dee+Raynes,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
In Auroram,69aa4d05-e9b2-48a3-a6ff-f0af1c08c075,https://www.last.fm/music/In+Auroram,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Aurorax,"",https://www.last.fm/music/Aurorax,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
The Aurora Principle,"",https://www.last.fm/music/The+Aurora+Principle,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Aurora feat. Lizzy Pattinson,923e649b-21d3-4b45-b109-50e4978002b6,https://www.last.fm/music/Aurora+feat.+Lizzy+Pattinson,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Aurora Blue,"",https://www.last.fm/music/Aurora+Blue,"",""
Aurora Shields,"",https://www.last.fm/music/Aurora+Shields,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Träumen von Aurora,8596fa9c-41f4-42ba-b1b6-b0a9e7624ca9,https://www.last.fm/music/Tr%C3%A4umen+von+Aurora,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Aurora Nealand & the Royal Roses,52633417-aa07-4a71-b421-c7e2dbd885bd,https://www.last.fm/music/Aurora+Nealand+&+the+Royal+Roses,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cher,bfcc6d75-a6a5-4bc6-8282-47aec8531818,https://www.last.fm/music/Cher,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cher Lloyd,48fbfb0b-92ee-45eb-99c2-0bde4c05962e,https://www.last.fm/music/Cher+Lloyd,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cheryl Cole,2d499150-1c42-4ffb-a90c-1cc635519d33,https://www.last.fm/music/Cheryl+Cole,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
CHERRY BULLET,"",https://www.last.fm/music/CHERRY+BULLET,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Black Stone Cherry,1801bd47-46ae-49ff-bfcd-6e01b562d880,https://www.last.fm/music/Black+Stone+Cherry,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cherry Glazerr,64a0c404-58af-4083-8fc6-a6725ef02ecb,https://www.last.fm/music/Cherry+Glazerr,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cheryl,85df56ab-e125-4169-8ac8-e6666128d526,https://www.last.fm/music/Cheryl,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Eagle-Eye Cherry,4a5777b3-f55b-437c-8b23-d9ee7791c7fc,https://www.last.fm/music/Eagle-Eye+Cherry,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Cherub,abf42fca-8c2e-4d55-9fc8-6b1fc65a80f1,https://www.last.fm/music/Cherub,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Neneh Cherry,527c65d1-9fdb-4482-8796-dde2980bd63a,https://www.last.fm/music/Neneh+Cherry,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
